Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,NativeKind,StreamMode,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
java,bytes,document,100,0,hessian,4.0.66,2137552,2320779,300,4458331,467.824876,430.889800,224.299183,0,1.0,message,native,1,c4a54cdecc67,0,0
java,bytes,document,100,0,dsl-json,2.0.2,5844580,1214896,440,7059476,171.098693,823.115723,141.653573,0,1.0,reflect,native,1,c4a54cdecc67,1,1
java,bytes,document,100,0,jackson,2.18.3,3319167,2160861,440,5480028,301.280412,462.778494,182.480819,0,1.0,reflect,native,1,c4a54cdecc67,2,2
java,bytes,document,100,0,ion,2.18.3,4011997,11522392,380,15534389,249.252430,86.787535,64.373308,0,1.0,reflect,native,1,c4a54cdecc67,3,3
java,bytes,document,100,0,fory,1.3.0,71289,47719,241,119008,14027.409558,20956.013328,8402.796451,0,1.0,message,adapted,1,c4a54cdecc67,4,4
java,bytes,document,100,0,jackson-cbor,2.18.3,1452822,1635590,334,3088412,688.315568,611.400168,323.790997,0,1.0,reflect,native,1,c4a54cdecc67,5,5
java,bytes,document,100,0,gson,2.12.1,4980059,820800,440,5800859,200.800834,1218.323587,172.388262,0,1.0,reflect,native,1,c4a54cdecc67,6,6
java,bytes,document,100,0,protostuff,1.8.0,2040304,823592,155,2863896,490.123040,1214.193436,349.174691,0,1.0,schema,native,1,c4a54cdecc67,7,7
java,bytes,document,100,0,avro,1.12.0,24901128,7734056,114,32635184,40.158823,129.298262,30.641776,0,1.0,schema,native,1,c4a54cdecc67,8,8
java,bytes,document,100,0,fastjson2,2.0.57,199385761,11743881,440,211129642,5.015403,85.150727,4.736426,0,1.0,reflect,adapted,1,c4a54cdecc67,9,9
java,bytes,document,100,0,jackson-smile,2.18.3,1693531,1225528,233,2919059,590.482253,815.974829,342.576152,0,1.0,reflect,native,1,c4a54cdecc67,10,10
java,bytes,document,100,0,jsoniter,0.9.23,44336784,22859722,440,67196506,22.554635,43.745064,14.881726,0,1.0,reflect,adapted,1,c4a54cdecc67,11,11
java,bytes,document,100,0,protobuf,4.28.3,3806448,389950,155,4196398,262.712114,2564.431337,238.299608,0,1.0,message,native,1,c4a54cdecc67,12,12
java,bytes,document,100,0,bson,5.3.1,2061814,2614793,517,4676607,485.009802,382.439451,213.830241,0,1.0,message,adapted,1,c4a54cdecc67,13,13
java,bytes,document,100,0,moshi,1.15.2,249074,2727400,440,2976474,4014.871082,366.649556,335.967994,0,1.0,reflect,native,1,c4a54cdecc67,14,14
java,bytes,document,100,0,java-serialization,21.0.11,47499722,1815955,626,49315677,21.052755,550.674439,20.277528,0,1.0,message,native,1,c4a54cdecc67,15,15
java,bytes,document,100,0,msgpack,0.9.8,3258445,2836759,317,6095204,306.894853,352.514965,164.063418,0,1.0,reflect,native,1,c4a54cdecc67,16,16
java,bytes,document,100,0,kryo,5.6.2,321534,5123474,126,5445008,3110.091001,195.180067,183.654459,0,1.0,message,native,1,c4a54cdecc67,17,17
java,bytes,document,100,1,ion,2.18.3,555964,1096571,380,1652535,1798.677612,911.933655,605.130905,0,1.0,reflect,native,1,c4a54cdecc67,18,0
java,bytes,document,100,1,hessian,4.0.66,63817,85836,300,149653,15669.805851,11650.123491,6682.124648,0,1.0,message,native,1,c4a54cdecc67,19,1
java,bytes,document,100,1,kryo,5.6.2,71879,61361,126,133240,13912.269230,16296.996464,7505.253678,0,1.0,message,native,1,c4a54cdecc67,20,2
java,bytes,document,100,1,protostuff,1.8.0,39975,36062,155,76037,25015.634772,27730.020520,13151.492037,0,1.0,schema,native,1,c4a54cdecc67,21,3
java,bytes,document,100,1,jackson,2.18.3,157117,221784,440,378901,6364.683643,4508.891534,2639.211826,0,1.0,reflect,native,1,c4a54cdecc67,22,4
java,bytes,document,100,1,jsoniter,0.9.23,55910,47083,440,102993,17885.888034,21239.088418,9709.397726,0,1.0,reflect,adapted,1,c4a54cdecc67,23,5
java,bytes,document,100,1,java-serialization,21.0.11,187452,405402,626,592854,5334.699016,2466.687387,1686.755930,0,1.0,message,native,1,c4a54cdecc67,24,6
java,bytes,document,100,1,jackson-smile,2.18.3,140156,179414,233,319570,7134.906818,5573.701049,3129.204869,0,1.0,reflect,native,1,c4a54cdecc67,25,7
java,bytes,document,100,1,fastjson2,2.0.57,260253,58292,440,318545,3842.414881,17155.012695,3139.273886,0,1.0,reflect,adapted,1,c4a54cdecc67,26,8
java,bytes,document,100,1,avro,1.12.0,110504,172156,114,282660,9049.446174,5808.685146,3537.819288,0,1.0,schema,native,1,c4a54cdecc67,27,9
java,bytes,document,100,1,fory,1.3.0,51492,42828,241,94320,19420.492504,23349.210797,10602.205259,0,1.0,message,adapted,1,c4a54cdecc67,28,10
java,bytes,document,100,1,protobuf,4.28.3,37827,58135,155,95962,26436.143495,17201.341705,10420.791563,0,1.0,message,native,1,c4a54cdecc67,29,11
java,bytes,document,100,1,msgpack,0.9.8,252054,432191,317,684245,3967.403810,2313.791819,1461.464826,0,1.0,reflect,native,1,c4a54cdecc67,30,12
java,bytes,document,100,1,bson,5.3.1,226175,227857,517,454032,4421.355145,4388.717485,2202.487930,0,1.0,message,adapted,1,c4a54cdecc67,31,13
java,bytes,document,100,1,jackson-cbor,2.18.3,155473,184566,334,340039,6431.984975,5418.116013,2940.839139,0,1.0,reflect,native,1,c4a54cdecc67,32,14
java,bytes,document,100,1,dsl-json,2.0.2,100997,202168,440,303165,9901.284197,4946.381227,3298.533802,0,1.0,reflect,native,1,c4a54cdecc67,33,15
java,bytes,document,100,1,gson,2.12.1,126080,101471,440,227551,7931.472081,9855.032472,4394.619228,0,1.0,reflect,native,1,c4a54cdecc67,34,16
java,bytes,document,100,1,moshi,1.15.2,639868,781180,440,1421048,1562.822332,1280.114698,703.705997,0,1.0,reflect,native,1,c4a54cdecc67,35,17
java,bytes,document,100,2,jackson,2.18.3,149044,276093,440,425137,6709.428088,3621.967960,2352.182943,0,1.0,reflect,native,1,c4a54cdecc67,36,0
java,bytes,document,100,2,dsl-json,2.0.2,210243,170761,440,381004,4756.400927,5856.138111,2624.644361,0,1.0,reflect,native,1,c4a54cdecc67,37,1
java,bytes,document,100,2,moshi,1.15.2,168031,200718,440,368749,5951.282799,4982.114210,2711.871761,0,1.0,reflect,native,1,c4a54cdecc67,38,2
java,bytes,document,100,2,hessian,4.0.66,57493,74051,300,131544,17393.421808,13504.206560,7602.019096,0,1.0,message,native,1,c4a54cdecc67,39,3
java,bytes,document,100,2,msgpack,0.9.8,278938,345818,317,624756,3585.026063,2891.694475,1600.624884,0,1.0,reflect,native,1,c4a54cdecc67,40,4
java,bytes,document,100,2,protostuff,1.8.0,58268,51723,155,109991,17162.078671,19333.758676,9091.652953,0,1.0,schema,native,1,c4a54cdecc67,41,5
java,bytes,document,100,2,protobuf,4.28.3,54983,80063,155,135046,18187.439754,12490.163996,7404.884262,0,1.0,message,native,1,c4a54cdecc67,42,6
java,bytes,document,100,2,avro,1.12.0,156888,207580,114,364468,6373.973790,4817.419790,2743.725101,0,1.0,schema,native,1,c4a54cdecc67,43,7
java,bytes,document,100,2,jackson-cbor,2.18.3,140993,257510,334,398503,7092.550694,3883.344336,2509.391397,0,1.0,reflect,native,1,c4a54cdecc67,44,8
java,bytes,document,100,2,ion,2.18.3,409917,1123382,380,1533299,2439.518244,890.169150,652.188516,0,1.0,reflect,native,1,c4a54cdecc67,45,9
java,bytes,document,100,2,fory,1.3.0,85617,74293,241,159910,11679.923380,13460.218325,6253.517604,0,1.0,message,adapted,1,c4a54cdecc67,46,10
java,bytes,document,100,2,fastjson2,2.0.57,91467,80671,440,172138,10932.904763,12396.028313,5809.292544,0,1.0,reflect,adapted,1,c4a54cdecc67,47,11
java,bytes,document,100,2,jackson-smile,2.18.3,154111,156517,233,310628,6488.829480,6389.082336,3219.284804,0,1.0,reflect,native,1,c4a54cdecc67,48,12
java,bytes,document,100,2,java-serialization,21.0.11,259447,468536,626,727983,3854.351756,2134.307716,1373.658451,0,1.0,message,native,1,c4a54cdecc67,49,13
java,bytes,document,100,2,kryo,5.6.2,88161,74253,126,162414,11342.884042,13467.469328,6157.104683,0,1.0,message,native,1,c4a54cdecc67,50,14
java,bytes,document,100,2,gson,2.12.1,146694,128161,440,274855,6816.911394,7802.685684,3638.282003,0,1.0,reflect,native,1,c4a54cdecc67,51,15
java,bytes,document,100,2,bson,5.3.1,244665,255347,517,500012,4087.221303,3916.239470,1999.952001,0,1.0,message,adapted,1,c4a54cdecc67,52,16
java,bytes,document,100,2,jsoniter,0.9.23,41783,42581,440,84364,23933.178565,23484.652779,11853.397184,0,1.0,reflect,adapted,1,c4a54cdecc67,53,17
java,bytes,document,100,3,fastjson2,2.0.57,60870,62252,440,123122,16428.454082,16063.740924,8122.025308,0,1.0,reflect,adapted,1,c4a54cdecc67,54,0
java,bytes,document,100,3,protostuff,1.8.0,36650,41708,155,78358,27285.129604,23976.215594,12761.938794,0,1.0,schema,native,1,c4a54cdecc67,55,1
java,bytes,document,100,3,jackson-smile,2.18.3,124831,144432,233,269263,8010.830643,6923.673424,3713.841114,0,1.0,reflect,native,1,c4a54cdecc67,56,2
java,bytes,document,100,3,fory,1.3.0,49746,44626,241,94372,20102.118763,22408.461435,10596.363328,0,1.0,message,adapted,1,c4a54cdecc67,57,3
java,bytes,document,100,3,jsoniter,0.9.23,50526,37212,440,87738,19791.790365,26873.051704,11397.570038,0,1.0,reflect,adapted,1,c4a54cdecc67,58,4
java,bytes,document,100,3,protobuf,4.28.3,76984,57740,155,134724,12989.712148,17319.016280,7422.582465,0,1.0,message,native,1,c4a54cdecc67,59,5
java,bytes,document,100,3,jackson-cbor,2.18.3,91740,137833,334,229573,10900.370613,7255.156603,4355.912934,0,1.0,reflect,native,1,c4a54cdecc67,60,6
java,bytes,document,100,3,ion,2.18.3,322398,697511,380,1019909,3101.756214,1433.669146,980.479631,0,1.0,reflect,native,1,c4a54cdecc67,61,7
java,bytes,document,100,3,bson,5.3.1,219139,175382,517,394521,4563.313696,5701.839413,2534.719318,0,1.0,message,adapted,1,c4a54cdecc67,62,8
java,bytes,document,100,3,java-serialization,21.0.11,143751,327744,626,471495,6956.473346,3051.161882,2120.913265,0,1.0,message,native,1,c4a54cdecc67,63,9
java,bytes,document,100,3,gson,2.12.1,122303,90394,440,212697,8176.414315,11062.681151,4701.523764,0,1.0,reflect,native,1,c4a54cdecc67,64,10
java,bytes,document,100,3,msgpack,0.9.8,160361,183573,317,343934,6235.930183,5447.424185,2907.534585,0,1.0,reflect,native,1,c4a54cdecc67,65,11
java,bytes,document,100,3,kryo,5.6.2,98276,77515,126,175791,10175.424315,12900.728891,5688.573363,0,1.0,message,native,1,c4a54cdecc67,66,12
java,bytes,document,100,3,avro,1.12.0,140453,210446,114,350899,7119.819441,4751.812817,2849.822884,0,1.0,schema,native,1,c4a54cdecc67,67,13
java,bytes,document,100,3,moshi,1.15.2,189326,237152,440,426478,5281.894721,4216.704898,2344.786835,0,1.0,reflect,native,1,c4a54cdecc67,68,14
java,bytes,document,100,3,hessian,4.0.66,93332,123474,300,216806,10714.438778,8098.871017,4612.418476,0,1.0,message,native,1,c4a54cdecc67,69,15
java,bytes,document,100,3,jackson,2.18.3,223182,270167,440,493349,4480.648081,3701.414310,2026.962657,0,1.0,reflect,native,1,c4a54cdecc67,70,16
java,bytes,document,100,3,dsl-json,2.0.2,112826,154948,440,267774,8863.205290,6453.778042,3734.492520,0,1.0,reflect,native,1,c4a54cdecc67,71,17
java,bytes,document,100,4,jackson-cbor,2.18.3,123479,160680,334,284159,8098.543072,6223.549913,3519.156529,0,1.0,reflect,native,1,c4a54cdecc67,72,0
java,bytes,document,100,4,java-serialization,21.0.11,304145,462199,626,766344,3287.905440,2163.570237,1304.897018,0,1.0,message,native,1,c4a54cdecc67,73,1
java,bytes,document,100,4,protostuff,1.8.0,41482,47320,155,88802,24106.841522,21132.713440,11261.007635,0,1.0,schema,native,1,c4a54cdecc67,74,2
java,bytes,document,100,4,msgpack,0.9.8,200964,277902,317,478866,4976.015605,3598.390800,2088.266864,0,1.0,reflect,native,1,c4a54cdecc67,75,3
java,bytes,document,100,4,dsl-json,2.0.2,111409,138209,440,249618,8975.935517,7235.418822,4006.121353,0,1.0,reflect,native,1,c4a54cdecc67,76,4
java,bytes,document,100,4,protobuf,4.28.3,59461,111865,155,171326,16817.746086,8939.346534,5836.825701,0,1.0,message,native,1,c4a54cdecc67,77,5
java,bytes,document,100,4,hessian,4.0.66,74832,95740,300,170572,13363.267052,10444.955087,5862.626926,0,1.0,message,native,1,c4a54cdecc67,78,6
java,bytes,document,100,4,avro,1.12.0,119381,183346,114,302727,8376.542331,5454.168621,3303.306279,0,1.0,schema,native,1,c4a54cdecc67,79,7
java,bytes,document,100,4,jackson-smile,2.18.3,86192,98491,233,184683,11602.004826,10153.211969,5414.683539,0,1.0,reflect,native,1,c4a54cdecc67,80,8
java,bytes,document,100,4,fory,1.3.0,45421,37647,241,83068,22016.247991,26562.541504,12038.330043,0,1.0,message,adapted,1,c4a54cdecc67,81,9
java,bytes,document,100,4,jsoniter,0.9.23,33795,34459,440,68254,29590.176062,29019.994776,14651.155976,0,1.0,reflect,adapted,1,c4a54cdecc67,82,10
java,bytes,document,100,4,gson,2.12.1,97027,98517,440,195544,10306.409556,10150.532395,5113.938551,0,1.0,reflect,native,1,c4a54cdecc67,83,11
java,bytes,document,100,4,fastjson2,2.0.57,46305,50475,440,96780,21595.939963,19811.788014,10332.713371,0,1.0,reflect,adapted,1,c4a54cdecc67,84,12
java,bytes,document,100,4,ion,2.18.3,272631,770976,380,1043607,3667.961457,1297.057237,958.215114,0,1.0,reflect,native,1,c4a54cdecc67,85,13
java,bytes,document,100,4,kryo,5.6.2,70977,59172,126,130149,14089.071108,16899.885081,7683.501218,0,1.0,message,native,1,c4a54cdecc67,86,14
java,bytes,document,100,4,jackson,2.18.3,79164,145696,440,224860,12632.004446,6863.606413,4447.211598,0,1.0,reflect,native,1,c4a54cdecc67,87,15
java,bytes,document,100,4,moshi,1.15.2,85196,175229,440,260425,11737.640265,5706.817935,3839.877124,0,1.0,reflect,native,1,c4a54cdecc67,88,16
java,bytes,document,100,4,bson,5.3.1,204796,187976,517,392772,4882.907869,5319.828063,2546.006334,0,1.0,message,adapted,1,c4a54cdecc67,89,17
java,bytes,document,100,5,kryo,5.6.2,65934,58151,126,124085,15166.681833,17196.608829,8058.991820,0,1.0,message,native,1,c4a54cdecc67,90,0
java,bytes,document,100,5,protostuff,1.8.0,68422,47893,155,116315,14615.182251,20879.878062,8597.343421,0,1.0,schema,native,1,c4a54cdecc67,91,1
java,bytes,document,100,5,msgpack,0.9.8,125675,121531,317,247206,7957.032027,8228.353260,4045.209259,0,1.0,reflect,native,1,c4a54cdecc67,92,2
java,bytes,document,100,5,jackson-smile,2.18.3,77092,87317,233,164409,12971.514554,11452.523564,6082.392083,0,1.0,reflect,native,1,c4a54cdecc67,93,3
java,bytes,document,100,5,jsoniter,0.9.23,33422,37339,440,70761,29920.411705,26781.649214,14132.078405,0,1.0,reflect,adapted,1,c4a54cdecc67,94,4
java,bytes,document,100,5,dsl-json,2.0.2,119369,95220,440,214589,8377.384413,10501.995379,4660.071113,0,1.0,reflect,native,1,c4a54cdecc67,95,5
java,bytes,document,100,5,avro,1.12.0,92536,129885,114,222421,10806.604997,7699.118451,4495.978347,0,1.0,schema,native,1,c4a54cdecc67,96,6
java,bytes,document,100,5,hessian,4.0.66,56629,73991,300,130620,17658.796730,13515.157249,7655.795437,0,1.0,message,native,1,c4a54cdecc67,97,7
java,bytes,document,100,5,fory,1.3.0,88167,73644,241,161811,11342.112128,13578.838738,6180.049564,0,1.0,message,adapted,1,c4a54cdecc67,98,8
java,bytes,document,100,5,jackson,2.18.3,150133,225366,440,375499,6660.760792,4437.226556,2663.122938,0,1.0,reflect,native,1,c4a54cdecc67,99,9
java,bytes,document,100,5,fastjson2,2.0.57,89734,115061,440,204795,11144.047964,8691.042143,4882.931712,0,1.0,reflect,adapted,1,c4a54cdecc67,100,10
java,bytes,document,100,5,bson,5.3.1,284399,270634,517,555033,3516.186766,3695.027232,1801.694674,0,1.0,message,adapted,1,c4a54cdecc67,101,11
java,bytes,document,100,5,ion,2.18.3,480850,1055147,380,1535997,2079.650619,947.735244,651.042938,0,1.0,reflect,native,1,c4a54cdecc67,102,12
java,bytes,document,100,5,java-serialization,21.0.11,291174,476028,626,767202,3434.372574,2100.716765,1303.437687,0,1.0,message,native,1,c4a54cdecc67,103,13
java,bytes,document,100,5,gson,2.12.1,171567,101854,440,273421,5828.626717,9817.974748,3657.363553,0,1.0,reflect,native,1,c4a54cdecc67,104,14
java,bytes,document,100,5,jackson-cbor,2.18.3,116900,173784,334,290684,8554.319932,5754.269668,3440.161825,0,1.0,reflect,native,1,c4a54cdecc67,105,15
java,bytes,document,100,5,protobuf,4.28.3,53454,75276,155,128730,18707.673888,13284.446570,7768.197001,0,1.0,message,native,1,c4a54cdecc67,106,16
java,bytes,document,100,5,moshi,1.15.2,116621,136606,440,253227,8574.784987,7320.322680,3949.025973,0,1.0,reflect,native,1,c4a54cdecc67,107,17
java,bytes,document,100,6,ion,2.18.3,540956,879332,380,1420288,1848.579182,1137.226895,704.082552,0,1.0,reflect,native,1,c4a54cdecc67,108,0
java,bytes,document,100,6,moshi,1.15.2,100244,100309,440,200553,9975.659391,9969.195187,4986.213121,0,1.0,reflect,native,1,c4a54cdecc67,109,1
java,bytes,document,100,6,hessian,4.0.66,51303,71578,300,122881,19492.037503,13970.773143,8137.954606,0,1.0,message,native,1,c4a54cdecc67,110,2
java,bytes,document,100,6,msgpack,0.9.8,198887,135404,317,334291,5027.980713,7385.306195,2991.405691,0,1.0,reflect,native,1,c4a54cdecc67,111,3
java,bytes,document,100,6,jackson,2.18.3,99348,313589,440,412937,10065.627894,3188.887365,2421.676914,0,1.0,reflect,native,1,c4a54cdecc67,112,4
java,bytes,document,100,6,fory,1.3.0,56209,99815,241,156024,17790.745254,10018.534288,6409.270369,0,1.0,message,adapted,1,c4a54cdecc67,113,5
java,bytes,document,100,6,fastjson2,2.0.57,47502,62870,440,110372,21051.745190,15905.837442,9060.268909,0,1.0,reflect,adapted,1,c4a54cdecc67,114,6
java,bytes,document,100,6,java-serialization,21.0.11,176854,314110,626,490964,5654.381580,3183.598103,2036.809216,0,1.0,message,native,1,c4a54cdecc67,115,7
java,bytes,document,100,6,dsl-json,2.0.2,74622,87846,440,162468,13400.873737,11383.557589,6155.058227,0,1.0,reflect,native,1,c4a54cdecc67,116,8
java,bytes,document,100,6,jackson-cbor,2.18.3,281634,197433,334,479067,3550.707656,5065.009396,2087.390699,0,1.0,reflect,native,1,c4a54cdecc67,117,9
java,bytes,document,100,6,bson,5.3.1,180979,197488,517,378467,5525.502959,5063.598801,2642.238293,0,1.0,message,adapted,1,c4a54cdecc67,118,10
java,bytes,document,100,6,avro,1.12.0,88003,138065,114,226068,11363.248980,7242.965270,4423.447812,0,1.0,schema,native,1,c4a54cdecc67,119,11
java,bytes,document,100,6,jsoniter,0.9.23,45081,44146,440,89227,22182.294093,22652.108911,11207.369966,0,1.0,reflect,adapted,1,c4a54cdecc67,120,12
java,bytes,document,100,6,jackson-smile,2.18.3,100353,158647,233,259000,9964.824171,6303.302300,3861.003861,0,1.0,reflect,native,1,c4a54cdecc67,121,13
java,bytes,document,100,6,gson,2.12.1,135722,101707,440,237429,7368.002240,9832.164944,4211.785418,0,1.0,reflect,native,1,c4a54cdecc67,122,14
java,bytes,document,100,6,protostuff,1.8.0,56612,44428,155,101040,17664.099484,22508.328081,9897.070467,0,1.0,schema,native,1,c4a54cdecc67,123,15
java,bytes,document,100,6,protobuf,4.28.3,44592,77009,155,121601,22425.547183,12985.495202,8223.616582,0,1.0,message,native,1,c4a54cdecc67,124,16
java,bytes,document,100,6,kryo,5.6.2,130838,85982,126,216820,7643.039484,11630.341234,4612.120653,0,1.0,message,native,1,c4a54cdecc67,125,17
java,bytes,document,100,7,jsoniter,0.9.23,36291,56484,440,92775,27555.041195,17704.128603,10778.765831,0,1.0,reflect,adapted,1,c4a54cdecc67,126,0
java,bytes,document,100,7,protobuf,4.28.3,34792,50368,155,85160,28742.239595,19853.875476,11742.602161,0,1.0,message,native,1,c4a54cdecc67,127,1
java,bytes,document,100,7,protostuff,1.8.0,35782,30404,155,66186,27947.012464,32890.409157,15108.935424,0,1.0,schema,native,1,c4a54cdecc67,128,2
java,bytes,document,100,7,msgpack,0.9.8,170846,298958,317,469804,5853.224541,3344.951465,2128.547224,0,1.0,reflect,native,1,c4a54cdecc67,129,3
java,bytes,document,100,7,fory,1.3.0,58907,59459,241,118366,16975.911182,16818.311778,8448.371999,0,1.0,message,adapted,1,c4a54cdecc67,130,4
java,bytes,document,100,7,kryo,5.6.2,73410,68774,126,142184,13622.122327,14540.378631,7033.140156,0,1.0,message,native,1,c4a54cdecc67,131,5
java,bytes,document,100,7,fastjson2,2.0.57,57877,64408,440,122285,17278.020630,15526.021612,8177.617860,0,1.0,reflect,adapted,1,c4a54cdecc67,132,6
java,bytes,document,100,7,dsl-json,2.0.2,96993,117088,440,214081,10310.022373,8540.584859,4671.129152,0,1.0,reflect,native,1,c4a54cdecc67,133,7
java,bytes,document,100,7,bson,5.3.1,169010,224629,517,393639,5916.809656,4451.784943,2540.398690,0,1.0,message,adapted,1,c4a54cdecc67,134,8
java,bytes,document,100,7,jackson-smile,2.18.3,97434,97093,233,194527,10263.357760,10299.403665,5140.674559,0,1.0,reflect,native,1,c4a54cdecc67,135,9
java,bytes,document,100,7,hessian,4.0.66,53666,67230,300,120896,18633.771848,14874.312063,8271.572260,0,1.0,message,native,1,c4a54cdecc67,136,10
java,bytes,document,100,7,gson,2.12.1,122512,83843,440,206355,8162.465718,11927.054137,4846.017785,0,1.0,reflect,native,1,c4a54cdecc67,137,11
java,bytes,document,100,7,java-serialization,21.0.11,166228,326616,626,492844,6015.833674,3061.699366,2029.039615,0,1.0,message,native,1,c4a54cdecc67,138,12
java,bytes,document,100,7,jackson-cbor,2.18.3,86770,126337,334,213107,11524.720526,7915.337550,4692.478426,0,1.0,reflect,native,1,c4a54cdecc67,139,13
java,bytes,document,100,7,jackson,2.18.3,79298,591320,440,670618,12610.658529,1691.131705,1491.161884,0,1.0,reflect,native,1,c4a54cdecc67,140,14
java,bytes,document,100,7,moshi,1.15.2,84957,99566,440,184523,11770.660452,10043.589177,5419.378614,0,1.0,reflect,native,1,c4a54cdecc67,141,15
java,bytes,document,100,7,ion,2.18.3,209090,499079,380,708169,4782.629490,2003.690798,1412.092311,0,1.0,reflect,native,1,c4a54cdecc67,142,16
java,bytes,document,100,7,avro,1.12.0,204453,129272,114,333725,4891.099666,7735.627205,2996.479137,0,1.0,schema,native,1,c4a54cdecc67,143,17
java,bytes,document,100,8,jackson,2.18.3,71904,243933,440,315837,13907.432132,4099.486334,3166.190155,0,1.0,reflect,native,1,c4a54cdecc67,144,0
java,bytes,document,100,8,jackson-cbor,2.18.3,85819,98938,334,184757,11652.431280,10107.339950,5412.514817,0,1.0,reflect,native,1,c4a54cdecc67,145,1
java,bytes,document,100,8,dsl-json,2.0.2,60800,78077,440,138877,16447.368421,12807.869155,7200.616373,0,1.0,reflect,native,1,c4a54cdecc67,146,2
java,bytes,document,100,8,kryo,5.6.2,66951,59082,126,126033,14936.296695,16925.628787,7934.429872,0,1.0,message,native,1,c4a54cdecc67,147,3
java,bytes,document,100,8,jackson-smile,2.18.3,94949,61639,233,156588,10531.969794,16223.494865,6386.185404,0,1.0,reflect,native,1,c4a54cdecc67,148,4
java,bytes,document,100,8,msgpack,0.9.8,198721,115449,317,314170,5032.180796,8661.833364,3182.990101,0,1.0,reflect,native,1,c4a54cdecc67,149,5
java,bytes,document,100,8,ion,2.18.3,295892,422434,380,718326,3379.611480,2367.233698,1392.125581,0,1.0,reflect,native,1,c4a54cdecc67,150,6
java,bytes,document,100,8,jsoniter,0.9.23,97542,52238,440,149780,10251.994013,19143.152494,6676.458806,0,1.0,reflect,adapted,1,c4a54cdecc67,151,7
java,bytes,document,100,8,protobuf,4.28.3,28276,53065,155,81341,35365.681143,18844.812965,12293.923114,0,1.0,message,native,1,c4a54cdecc67,152,8
java,bytes,document,100,8,avro,1.12.0,108083,117623,114,225706,9252.148812,8501.738606,4430.542387,0,1.0,schema,native,1,c4a54cdecc67,153,9
java,bytes,document,100,8,java-serialization,21.0.11,183441,239391,626,422832,5451.344029,4177.266480,2365.005487,0,1.0,message,native,1,c4a54cdecc67,154,10
java,bytes,document,100,8,fory,1.3.0,45243,37489,241,82732,22102.866742,26674.491184,12087.221390,0,1.0,message,adapted,1,c4a54cdecc67,155,11
java,bytes,document,100,8,gson,2.12.1,67343,68523,440,135866,14849.353311,14593.640092,7360.193131,0,1.0,reflect,native,1,c4a54cdecc67,156,12
java,bytes,document,100,8,bson,5.3.1,127262,145628,517,272890,7857.805158,6866.811327,3664.480193,0,1.0,message,adapted,1,c4a54cdecc67,157,13
java,bytes,document,100,8,moshi,1.15.2,69454,87859,440,157313,14398.018833,11381.873229,6356.753733,0,1.0,reflect,native,1,c4a54cdecc67,158,14
java,bytes,document,100,8,fastjson2,2.0.57,44406,48759,440,93165,22519.479350,20509.034230,10733.644609,0,1.0,reflect,adapted,1,c4a54cdecc67,159,15
java,bytes,document,100,8,protostuff,1.8.0,30405,25106,155,55511,32889.327413,39831.116068,18014.447587,0,1.0,schema,native,1,c4a54cdecc67,160,16
java,bytes,document,100,8,hessian,4.0.66,42924,50895,300,93819,23296.990029,19648.295510,10658.821774,0,1.0,message,native,1,c4a54cdecc67,161,17
java,bytes,document,100,9,fastjson2,2.0.57,38136,62533,440,100669,26221.942522,15991.556458,9933.544587,0,1.0,reflect,adapted,1,c4a54cdecc67,162,0
java,bytes,document,100,9,fory,1.3.0,40850,35217,241,76067,24479.804162,28395.377233,13146.305231,0,1.0,message,adapted,1,c4a54cdecc67,163,1
java,bytes,document,100,9,moshi,1.15.2,68625,84380,440,153005,14571.948998,11851.149562,6535.734126,0,1.0,reflect,native,1,c4a54cdecc67,164,2
java,bytes,document,100,9,msgpack,0.9.8,140568,99690,317,240258,7113.994650,10031.096399,4162.192310,0,1.0,reflect,native,1,c4a54cdecc67,165,3
java,bytes,document,100,9,gson,2.12.1,115370,71900,440,187270,8667.764584,13908.205841,5339.883591,0,1.0,reflect,native,1,c4a54cdecc67,166,4
java,bytes,document,100,9,java-serialization,21.0.11,117796,244324,626,362120,8489.252606,4092.925787,2761.515520,0,1.0,message,native,1,c4a54cdecc67,167,5
java,bytes,document,100,9,jsoniter,0.9.23,47638,55242,440,102880,20991.645325,18102.168640,9720.062208,0,1.0,reflect,adapted,1,c4a54cdecc67,168,6
java,bytes,document,100,9,kryo,5.6.2,106440,74972,126,181412,9394.964299,13338.312970,5512.314511,0,1.0,message,native,1,c4a54cdecc67,169,7
java,bytes,document,100,9,hessian,4.0.66,80753,95720,300,176473,12383.440863,10447.137484,5666.589223,0,1.0,message,native,1,c4a54cdecc67,170,8
java,bytes,document,100,9,jackson-cbor,2.18.3,168407,153824,334,322231,5937.995451,6500.936135,3103.363736,0,1.0,reflect,native,1,c4a54cdecc67,171,9
java,bytes,document,100,9,dsl-json,2.0.2,93075,95143,440,188218,10744.023637,10510.494729,5312.988131,0,1.0,reflect,native,1,c4a54cdecc67,172,10
java,bytes,document,100,9,protobuf,4.28.3,42603,90611,155,133214,23472.525409,11036.187659,7506.718513,0,1.0,message,native,1,c4a54cdecc67,173,11
